Year,Company,Basic EPS,Cash And Cash Equivalents,Current Ratio,Gross Profit,Gross Profit Margin %,Net Income,Net Profit Margin %,Quick Ratio,Revenue,Shares Outstanding Capital,Total Assets,Total Debt,Total Equity,Total Liabilities
2015,Infineon,0.12,1770000000.0,2.6,2330000000.0,33.81,100000000.0,1.59,1.77,6900000000.0,880000000.0,8200000000.0,1610000000.0,4690000000.0,3500000000.0
2015,Melexis,6.36,1610000000.0,3.67,2790000000.0,45.68,1530000000.0,26.21,2.42,6100000000.0,340000000.0,26350000000.0,9210000000.0,11800000000.0,14550000000.0
2015,NXP Semiconductors,0.56,670000000.0,1.89,2080000000.0,35.89,630000000.0,10.73,1.08,5800000000.0,1130000000.0,8740000000.0,1790000000.0,4670000000.0,4080000000.0
2015,Renesas,-19.67,22910000.0,3.07,-42280000.0,-18.97,-259240000.0,-116.32,2.42,222880000.0,14450000.0,393540000.0,172650000.0,49960000.0,343580000.0
2015,SOITEC,2.45,73840000.0,0.94,192120000.0,48.01,99070000.0,24.76,0.34,400140000.0,40050000.0,306770000.0,15180000.0,242510000.0,64260000.0
2015,STMicroelectronics,0.12,1770000000.0,3.0,2330000000.0,33.81,100000000.0,1.59,2.05,6900000000.0,880000000.0,8200000000.0,1610000000.0,4690000000.0,3500000000.0
2016,SOITEC,2.38,75790000.0,0.91,208550000.0,45.71,96260000.0,21.1,0.6,456280000.0,40050000.0,358170000.0,15140000.0,262460000.0,95700000.0
2016,Renesas,-4.96,49070000.0,3.08,62230000.0,26.69,-71670000.0,-14.18,2.5,233190000.0,14460000.0,325130000.0,218850000.0,-7110000.0,332250000.0
2016,STMicroelectronics,0.19,1630000000.0,2.82,2460000000.0,35.21,170000000.0,2.44,1.96,6970000000.0,880000000.0,8010000000.0,1450000000.0,4600000000.0,3410000000.0
2016,Melexis,0.59,1890000000.0,2.79,4070000000.0,42.84,200000000.0,2.73,1.84,9500000000.0,340000000.0,24900000000.0,9190000000.0,11160000000.0,13740000000.0
2016,Infineon,0.19,1630000000.0,2.94,2460000000.0,35.21,170000000.0,2.44,1.97,6970000000.0,880000000.0,8010000000.0,1450000000.0,4600000000.0,3410000000.0
2016,NXP Semiconductors,0.66,630000000.0,2.22,2330000000.0,36.0,740000000.0,11.45,1.2,6470000000.0,1130000000.0,9090000000.0,1770000000.0,5020000000.0,4060000000.0
2017,SOITEC,2.75,75480000.0,1.67,235400000.0,46.01,110950000.0,21.69,1.27,511660000.0,40050000.0,403360000.0,15090000.0,294300000.0,109060000.0
2017,Renesas,0.3,109290000.0,1.43,77430000.0,31.51,8380000.0,2.95,0.91,245710000.0,31360000.0,389600000.0,117130000.0,149120000.0,240490000.0
2017,STMicroelectronics,0.91,1760000000.0,2.52,3270000000.0,39.15,800000000.0,9.7,1.79,8350000000.0,900000000.0,9680000000.0,1700000000.0,5470000000.0,4210000000.0
2017,Melexis,6.54,3550000000.0,2.54,4620000000.0,49.9,2220000000.0,24.55,1.53,9260000000.0,340000000.0,24050000000.0,6570000000.0,13720000000.0,10330000000.0
2017,Infineon,0.91,1760000000.0,2.32,3270000000.0,39.15,800000000.0,9.7,1.57,8350000000.0,900000000.0,9680000000.0,1700000000.0,5470000000.0,4210000000.0
2017,NXP Semiconductors,0.7,860000000.0,2.22,2620000000.0,37.11,790000000.0,11.2,1.63,7060000000.0,1130000000.0,9950000000.0,1830000000.0,5640000000.0,4310000000.0
2018,Infineon,1.43,2270000000.0,2.49,3860000000.0,39.95,1290000000.0,13.38,1.61,9660000000.0,900000000.0,10870000000.0,1910000000.0,6420000000.0,4440000000.0
2018,Melexis,6.78,2790000000.0,3.55,4850000000.0,51.57,2210000000.0,24.0,1.72,9410000000.0,290000000.0,21530000000.0,7350000000.0,10690000000.0,10840000000.0
2018,NXP Semiconductors,0.95,730000000.0,1.54,2890000000.0,37.97,1080000000.0,16.03,1.06,7600000000.0,1130000000.0,10880000000.0,1530000000.0,6450000000.0,4430000000.0
2018,Renesas,2.79,119960000.0,1.63,106870000.0,34.4,86510000.0,29.64,1.11,310630000.0,31360000.0,479700000.0,78100000.0,278580000.0,201130000.0
2018,SOITEC,2.86,34520000.0,1.88,261140000.0,45.86,115450000.0,20.28,1.4,569370000.0,40050000.0,428020000.0,35040000.0,326010000.0,102010000.0
2018,STMicroelectronics,1.43,2270000000.0,2.76,3860000000.0,39.95,1290000000.0,13.38,1.93,9660000000.0,900000000.0,10870000000.0,1910000000.0,6420000000.0,4440000000.0
2019,SOITEC,1.49,38770000.0,2.13,196230000.0,40.31,60260000.0,12.38,1.64,486860000.0,40050000.0,418610000.0,66850000.0,299070000.0,119540000.0
2019,STMicroelectronics,1.15,2600000000.0,3.03,3700000000.0,38.68,1030000000.0,10.81,2.14,9560000000.0,890000000.0,11870000000.0,2130000000.0,7110000000.0,4760000000.0
2019,Renesas,2.88,175310000.0,1.24,165030000.0,37.17,90190000.0,20.24,0.86,443950000.0,32610000.0,822540000.0,210310000.0,398320000.0,424220000.0
2019,NXP Semiconductors,0.75,1020000000.0,1.82,2990000000.0,37.29,870000000.0,11.07,0.96,8030000000.0,1240000000.0,13410000000.0,1560000000.0,8630000000.0,4780000000.0
2019,Melexis,0.86,1050000000.0,4.38,4620000000.0,52.02,240000000.0,3.06,1.92,8880000000.0,280000000.0,20020000000.0,7370000000.0,9660000000.0,10360000000.0
2019,Infineon,1.15,2600000000.0,3.58,3700000000.0,38.68,1030000000.0,10.81,2.37,9560000000.0,890000000.0,11870000000.0,2130000000.0,7110000000.0,4760000000.0
2020,Infineon,1.24,3010000000.0,2.08,3790000000.0,37.08,1110000000.0,10.84,1.33,10220000000.0,910000000.0,14450000000.0,2820000000.0,8510000000.0,5950000000.0
2020,Melexis,0.19,2280000000.0,4.85,4240000000.0,49.18,50000000.0,0.93,2.43,8610000000.0,280000000.0,19850000000.0,7610000000.0,9150000000.0,10700000000.0
2020,NXP Semiconductors,0.26,1850000000.0,2.14,2780000000.0,32.4,330000000.0,4.34,1.51,8570000000.0,1300000000.0,22000000000.0,7330000000.0,10220000000.0,11780000000.0
2020,Renesas,3.4,191000000.0,1.4,195430000.0,32.7,109680000.0,18.5,1.05,597550000.0,33180000.0,1001220000.0,240900000.0,551730000.0,449490000.0
2020,SOITEC,1.72,58880000.0,2.57,197990000.0,39.01,69300000.0,13.65,1.78,507520000.0,40050000.0,433410000.0,65750000.0,314780000.0,118640000.0
2020,STMicroelectronics,1.24,3010000000.0,2.49,3790000000.0,37.08,1110000000.0,10.84,1.82,10220000000.0,910000000.0,14450000000.0,2820000000.0,8510000000.0,5950000000.0
2021,STMicroelectronics,2.21,3230000000.0,2.65,5330000000.0,41.74,2000000000.0,15.72,1.93,12760000000.0,910000000.0,15540000000.0,2740000000.0,9270000000.0,6270000000.0
2021,SOITEC,3.25,34950000.0,4.27,273600000.0,42.5,131110000.0,20.37,3.51,643790000.0,40400000.0,461180000.0,4630000.0,389060000.0,72120000.0
2021,Renesas,2.19,644380000.0,,183480000.0,31.43,72670000.0,12.69,,583760000.0,33820000.0,1568030000.0,638800000.0,675500000.0,892530000.0
2021,Infineon,2.21,3230000000.0,1.86,5330000000.0,41.74,2000000000.0,15.72,1.26,12760000000.0,910000000.0,15540000000.0,2740000000.0,9270000000.0,6270000000.0
2021,Melexis,6.91,2830000000.0,4.22,6070000000.0,54.84,1870000000.0,17.23,1.85,11060000000.0,260000000.0,20860000000.0,10570000000.0,6770000000.0,14090000000.0
2021,NXP Semiconductors,0.87,1750000000.0,2.13,4260000000.0,38.52,1140000000.0,10.62,1.53,11060000000.0,1300000000.0,23330000000.0,6920000000.0,11400000000.0,11930000000.0
2022,SOITEC,4.88,85080000.0,3.16,374680000.0,44.81,197150000.0,23.58,2.68,836160000.0,40400000.0,580230000.0,4250000.0,482080000.0,98150000.0
2022,STMicroelectronics,4.37,3260000000.0,2.56,7640000000.0,47.34,3960000000.0,24.59,1.82,16130000000.0,900000000.0,19980000000.0,2910000000.0,12760000000.0,7220000000.0
2022,Renesas,5.98,727820000.0,,315580000.0,36.58,201960000.0,23.44,,862740000.0,35510000.0,1986370000.0,557880000.0,1043930000.0,942430000.0
2022,Infineon,4.37,3260000000.0,1.69,7640000000.0,47.34,3960000000.0,24.59,1.03,16130000000.0,900000000.0,19980000000.0,2910000000.0,12760000000.0,7220000000.0
2022,Melexis,10.64,3850000000.0,4.63,7520000000.0,56.93,2790000000.0,21.45,2.37,13210000000.0,260000000.0,23240000000.0,11170000000.0,7740000000.0,15500000000.0
2022,NXP Semiconductors,1.65,1440000000.0,2.12,6130000000.0,43.12,2150000000.0,15.37,1.47,14220000000.0,1300000000.0,26910000000.0,6050000000.0,14940000000.0,11970000000.0
2023,Infineon,4.66,3220000000.0,1.89,8290000000.0,47.94,4210000000.0,24.42,1.04,17290000000.0,900000000.0,24450000000.0,3170000000.0,16850000000.0,7600000000.0
2023,Melexis,10.83,3650000000.0,3.63,7550000000.0,56.89,2800000000.0,21.26,1.51,13280000000.0,260000000.0,24350000000.0,11180000000.0,8960000000.0,15390000000.0
2023,NXP Semiconductors,2.38,1820000000.0,1.91,7410000000.0,45.45,3110000000.0,19.25,1.2,16310000000.0,1300000000.0,28440000000.0,5110000000.0,17040000000.0,11400000000.0
2023,SOITEC,5.18,39350000.0,,440220000.0,45.65,209460000.0,21.72,,964300000.0,40400000.0,866080000.0,188180000.0,551070000.0,315010000.0
2023,STMicroelectronics,4.66,3220000000.0,3.17,8290000000.0,47.94,4210000000.0,24.42,2.34,17290000000.0,900000000.0,24450000000.0,3170000000.0,16850000000.0,7600000000.0
2024,NXP Semiconductors,0.98,1810000000.0,2.36,6070000000.0,40.58,1270000000.0,11.9,1.31,14960000000.0,1300000000.0,28640000000.0,5170000000.0,17220000000.0,11420000000.0
2024,Infineon,1.73,2280000000.0,1.9,5220000000.0,39.34,1560000000.0,11.79,0.95,13270000000.0,900000000.0,24740000000.0,3170000000.0,17680000000.0,7060000000.0
2024,Melexis,9.84,3030000000.0,,7120000000.0,56.44,2510000000.0,20.15,,12610000000.0,250000000.0,24390000000.0,10850000000.0,9530000000.0,14850000000.0
2024,STMicroelectronics,1.73,2280000000.0,3.11,5220000000.0,39.34,1560000000.0,11.79,2.28,13270000000.0,900000000.0,24740000000.0,3170000000.0,17680000000.0,7060000000.0
